PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
37,103166129,3278,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,Unspecified,,,,,Inhibition,=,39.53,%,Average; N=2,
38,103166269,6758,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 25.9 Pct,
39,103166445,3463,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,Unspecified,,,,,Inhibition,=,11.1,%,Average; N=2,
40,103166621,4595,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,Unspecified,,,,,Inhibition,=,4.05,%,Average; N=2,
41,103167682,4463,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,Unspecified,,,,,Inhibition,=,12.92,%,Average; N=2,
42,103167993,3033769,CCN1CCC[C@H]1CNC(=O)C2=C(C(=CC(=C2OC)Cl)Cl)O,Unspecified,,,,,Inhibition,=,2.11,%,Average; N=2,
43,103168084,10607,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,Unspecified,,,,,Inhibition,=,6.19,%,Average; N=2,
44,103168167,5092,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,Unspecified,,,,,Inhibition,=,10.42,%,Average; N=2,
45,103168167,5092,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 18.0 Pct,
46,103168230,3767,C1=CN=CC=C1C(=O)NN,Unspecified,,,,,Inhibition,=,8.75,%,Average; N=2,
47,103168230,3767,C1=CN=CC=C1C(=O)NN,Unspecified,,,,,Inhibition,=,27.38,%,Average; N=2,
48,103168230,3767,C1=CN=CC=C1C(=O)NN,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 11.3 Pct,
49,103168313,5426,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,Unspecified,,,,,Inhibition,=,9.61,%,Average; N=2,
50,103168313,5426,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 13.0 Pct,
51,103168531,439533,C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,Unspecified,,,,,Inhibition,=,8.9,%,Average; N=2,
52,103168790,3488,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,Unspecified,,,,,Inhibition,=,-3.01,%,Average; N=2,
53,103168841,71329,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,Unspecified,,,,,Inhibition,=,11.97,%,Average; N=2,
54,103169047,14007283,CN(C)CCNC(=O)C1=CC=CC2=C1N=CC=C2,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 9.2 Pct,
55,103169156,3883,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Unspecified,,,,,Inhibition,=,16.66,%,Average; N=2,
56,103169156,3883,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib -9.2 Pct,
57,103169192,464205,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)O,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib -17.4 Pct,
58,103169484,2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,Unspecified,,,,,Inhibition,=,-4.21,%,Average; N=2,
59,103169637,27503,C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)[O-])O)C(=O)C=C(O2)C(=O)[O-].[Na+].[Na+],Unspecified,,,,,Inhibition,=,9.1,%,Average; N=2,
60,103169669,456201,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3CO[C@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 25.2 Pct,
61,103169732,2719,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 12.8 Pct,
62,103169867,3676,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,Unspecified,,,,,Inhibition,=,9.46,%,Average; N=2,
63,103170825,5073,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,Unspecified,,,,,Inhibition,=,4.53,%,Average; N=2,
64,103171219,5280723,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,Unspecified,,,,,Inhibition,=,3.1,%,Average; N=2,
65,103171247,3598,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,Active,,,,5,MIC,=,5000,nM,Median N= 2; Range 10 - 5  Um,
66,103171565,2727,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,Unspecified,,,,,Inhibition,=,17.96,%,Average; N=2,
67,103171590,4828,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,Unspecified,,,,,Inhibition,=,7.44,%,Average; N=2,
68,103171673,5298,CC1=C(C(=C(N=C1C(=O)O)C2=NC3=C(C=C2)C(=O)C(=C(C3=O)N)OC)N)C4=C(C(=C(C=C4)OC)OC)O,Unspecified,,,,0.0781,MIC,<=,78.1,nM,Median N= 2; Range 0.1563 - <=0.0781  Um,
69,103171902,5280965,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 14.2 Pct,
70,103172041,43345,CCC(C)(C)N=C(NC#N)NC1=CN=CC=C1,Unspecified,,,,,Inhibition,=,1.37,%,Average; N=2,
71,103172204,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Unspecified,,,,,Inhibition,=,-21.42,%,Average; N=2,Outside typical range
72,103172458,53232,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,Unspecified,,,,,Inhibition,=,9.76,%,Average; N=2,
73,103173870,2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,Unspecified,,,,,Inhibition,=,7.69,%,Average; N=2,
74,103174500,3672,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,Unspecified,,,,,Inhibition,=,-8.87,%,Average; N=2,
75,103174523,4496,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3,Unspecified,,,,,Inhibition,=,10.78,%,Average; N=2,
76,103174569,4506,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3,Unspecified,,,,,Inhibition,=,7.65,%,Average; N=2,
77,103174641,4943,CC(C)C1=C(C(=CC=C1)C(C)C)O,Unspecified,,,,,Inhibition,=,-2.39,%,Average; N=2,
78,103174792,4727,CC(C)(C(C(=O)O)N)S,Unspecified,,,,,Inhibition,=,15.93,%,Average; N=2,
79,103174804,312145,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 25.8 Pct,
80,103175236,447043,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 19.8 Pct,
81,103175272,36273,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)N=CN3CCCCCC3)C(=O)O)C,Unspecified,,,,,Inhibition,=,10.96,%,Average; N=2,
82,103175312,12560,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 9.4 Pct,
83,103175608,5994,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,Unspecified,,,,,Inhibition,=,12.63,%,Average; N=2,
84,103176116,6597,C(C(=O)O)(Cl)Cl,Unspecified,,,,,Inhibition,=,11.87,%,Average; N=2,
85,103176152,77918,C1=CC=C(C=C1)CN2C=CN=C2,Unspecified,,,,,Inhibition,=,13.36,%,Average; N=2,
86,103176241,2812,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 11.4 Pct,
87,103176321,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,0.1563,MIC,=,156.3,nM,Median N= 2,
88,103176475,3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 24.4 Pct,
89,103176475,3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 2.4 Pct,
90,103176635,5282379,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C,Unspecified,,,,,Inhibition,=,5.02,%,Average; N=2,
91,103176891,124348,COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=CC=C3,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 13.4 Pct,
92,103176908,160355,CC[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 11.2 Pct,
93,103177239,2790,C1=CC(=CC=C1CN=C(N)SCCCC2=CN=CN2)Cl,Unspecified,,,,,Inhibition,=,-4.61,%,Average; N=2,
94,103177753,2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,Unspecified,,,,,Inhibition,=,10.71,%,Average; N=2,
95,103177883,3121,CCCC(CCC)C(=O)O,Unspecified,,,,,Inhibition,=,9.7,%,Average; N=2,
96,103178134,71188,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F,Active,,,,0.3125,MIC,=,312.5,nM,Median N= 2,
97,103178327,3885,CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 26.0 Pct,
98,103178476,31593,C1=CC=C(C=C1)CNC(=O)CN2C=CN=C2[N+](=O)[O-],Unspecified,,,,,Inhibition,=,21.81,%,Average; N=2,
99,103178852,441140,C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,Unspecified,,,,,Inhibition,=,7.83,%,Average; N=2,
100,103178857,3394,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,Unspecified,,,,,Inhibition,=,10.54,%,Average; N=2,
101,103179008,4748,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,Unspecified,,,,,Inhibition,=,23.21,%,Average; N=2,
102,103179013,1548887,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,Unspecified,,,,,Inhibition,=,2.19,%,Average; N=2,
103,103179025,104943,COC1=CC=CC=C1CN[C@@H]2[C@@H](N3CCC2CC3)C(C4=CC=CC=C4)C5=CC=CC=C5,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 17.2 Pct,
104,103179087,3825,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Unspecified,,,,,Inhibition,=,6.88,%,Average; N=2,
105,103179088,6604200,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 26.4 Pct,
106,103179145,938,C1=CC(=CN=C1)C(=O)O,Unspecified,,,,,Inhibition,=,1.53,%,Average; N=2,
107,103179234,5462501,C[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N[C@@H](CCC2=CC=CC=C2)C(=O)O,Unspecified,,,,,Inhibition,=,-5.3,%,Average; N=2,
108,103179427,3958,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,Unspecified,,,,,Inhibition,=,-3.94,%,Average; N=2,
109,103179440,2378,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 3.4 Pct,
110,103179606,441243,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 8.2 Pct,
111,103179819,5546,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,Unspecified,,,,,Inhibition,=,-4.86,%,Average; N=2,
112,103180450,72303,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C,Unspecified,,,,,Inhibition,=,11.41,%,Average; N=2,
113,103180736,2690,C1=COC(=C1)C2=NN3C(=N2)C4=C(C=CC(=C4)Cl)N=C3N,Unspecified,,,,,Inhibition,=,11.02,%,Average; N=2,
114,103181002,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,Unspecified,,,,,Inhibition,=,5.39,%,Average; N=2,
115,103181030,107867,CCN(CC)CC1CCCCN1CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,Unspecified,,,,,Inhibition,=,7.92,%,Average; N=2,
116,103181342,5583,CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC,Active,,,,1.25,MIC,=,1250,nM,Median N= 2,
117,103182298,5775,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O,Unspecified,,,,,Inhibition,=,2.09,%,Average; N=2,
118,103182460,65015,C1CNCCNCCCN(CCNC1)CC2=CC=C(C=C2)CN3CCCNCCNCCCNCC3,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 12.3 Pct,
119,103182595,54677470,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,Unspecified,,,,,Inhibition,=,-0.24,%,Average; N=2,
120,103182993,137,C(CC(=O)O)C(=O)CN,Unspecified,,,,,Inhibition,=,8.53,%,Average; N=2,
121,103183357,4847,CC1=C(C(=O)N2C=CC=CC2=N1)CCN3CCC(CC3)C(=O)C4=CC=C(C=C4)F,Unspecified,,,,,Inhibition,=,1.36,%,Average; N=2,
122,103183576,5717,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,Unspecified,,,,,Inhibition,=,36.84,%,Average; N=2,
123,103183748,5090,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,Unspecified,,,,,Inhibition,=,8.94,%,Average; N=2,
124,103183888,66068,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl,Unspecified,,,,,Inhibition,=,-10.39,%,Average; N=2,Outside typical range
125,103184924,3213,CC1=C2C=CN=CC2=C(C3=C1NC4=CC=CC=C43)C,Active,,,,10,MIC,=,10000,nM,Median N= 2,
126,103185057,5401,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC,Unspecified,,,,,Inhibition,=,8.19,%,Average; N=2,
127,103185469,1046,C1=CN=C(C=N1)C(=O)N,Unspecified,,,,,Inhibition,=,14.57,%,Average; N=2,
128,103185469,1046,C1=CN=C(C=N1)C(=O)N,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 8.3 Pct,
129,103186309,60934,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O.CS(=O)(=O)O,Unspecified,,,,,Inhibition,=,-19.12,%,Average; N=2,Outside typical range
130,103186411,5386,C1CC(OC1)N2C=C(C(=O)NC2=O)F,Unspecified,,,,,Inhibition,=,17.75,%,Average; N=2,
131,103186822,6440352,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC2=CC=C(C=C2)F)CC(=O)[C@H](C(C)C)NC(=O)C3=NOC(=C3)C,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 3.3 Pct,
132,103186893,3599,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib -6.8 Pct,
133,103186904,6918496,CC[N+]1(CCC(CC1)NC(=O)C2C3=C(C=CC(=C3)Cl)OC4=C2C=C(C=C4)Cl)C/C/5=C/CCCCCC5.[I-],Unspecified,,,,20,MIC,=,20000,nM,Median N= 2,
134,103188044,441401,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,Active,,,,2.5,MIC,=,2500,nM,Median N= 2; Range 5 - 2.5  Um,
135,103188146,441130,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O,Unspecified,,,,,Inhibition,=,-14.17,%,Average; N=2,Outside typical range
136,103188188,3308,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,Unspecified,,,,,Inhibition,=,5.09,%,Average; N=2,
137,103188337,5430,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,Unspecified,,,,,Inhibition,=,9.35,%,Average; N=2,
138,103188732,4740,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,Unspecified,,,,,Inhibition,=,15.42,%,Average; N=2,
139,103188808,4932,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,Unspecified,,,,,Inhibition,=,9.33,%,Average; N=2,
